year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,eq_tr_usd,bond_tr_usd,bill_rate_usd,xrusd_return,cpi_return
1911,DEU,0.05248943716287613,0.024636516347527504,0.03539999946951866,1.4716341395648174e-11,4.197900000000001e-12,0.053592596724446384,0.025710482061796158,0.036485246854560005,-0.0010470456654687805,0.0
1912,DEU,0.05938301980495453,0.0017900161910802126,0.0421999990940094,1.492361378020115e-11,4.201e-12,0.058601280371154196,0.0010507757601847523,0.04143093934699893,0.0007384644703302725,0.014084505039701736
1913,DEU,0.040864042937755585,0.022681813687086105,0.049800001084804535,1.5027249944261957e-11,4.2107e-12,0.038466251307742505,0.02032590763992892,0.0473816240903564,0.0023089740537966786,0.0069444415801149795
1914,DEU,-0.08573048561811447,0.0455005057156086,0.03629999980330467,1.544179487029796e-11,4.28e-12,-0.10053396163369033,0.028572191452503004,0.019520656348545495,0.016458071104566964,0.027586213550290575
1915,DEU,0.09815901517868042,0.06536457687616348,0.03889999911189079,1.9379970725641004e-11,4.86e-12,-0.03289699897844589,-0.061777697730456715,-0.08508395139940472,0.13551401869158866,0.25503355590599514
1916,DEU,0.1535072773694992,0.04319523647427559,0.04619999974966049,2.5494506967403004e-11,5.519999999999999e-12,0.015587928988363364,-0.08153462875634432,-0.07888913065519021,0.13580246913580232,0.3155080226035666
1917,DEU,0.23372343182563782,0.03154205530881882,0.046300001442432404,3.824176052345169e-11,6.58e-12,0.034977711805094236,-0.1346334125676779,-0.12225288632792919,0.19202898550724654,0.5000000028377557
1918,DEU,-0.26594823598861694,0.038628607988357544,0.046300001442432404,4.7050837962563053e-11,6.01e-12,-0.1963293498843759,0.13713414984415873,0.14553311306010075,-0.0866261398176292,0.23035229860061526
1919,DEU,0.590096652507782,0.06736224889755249,0.046300001442432404,6.249263288262212e-11,1.976e-11,-0.5163724250216716,-0.6753619880630419,-0.681768066362904,2.2878535773710484,0.3281938343445795
1920,DEU,0.6850277781486511,0.12000566720962524,0.03590000048279762,1.5338158650649405e-10,6.306e-11,-0.47199256428453296,-0.6490435777979353,-0.6753982871940996,2.191295546558704,1.454394693124639
1921,DEU,1.2381927967071533,0.43171799182891846,0.0348999984562397,2.0105424070659674e-10,1.0457e-10,0.349722078611008,-0.13661531448090647,-0.3759128440025774,0.6582619727243894,0.3108108038645452
1922,DEU,20.694435119628906,0.047298237681388855,0.05939999967813492,2.259269310196312e-9,1.88578e-9,0.2029966806624286,-0.9419253694946691,-0.941254304337546,17.033661662044565,10.237113438921776
1923,DEU,2639074816.0,0.06114140897989273,,2.388266141806678,0.5349,8.304009176298859,-0.9999999962589657,,283649205.16402763,1057096703.2433544
1924,DEU,0.04148393124341965,0.06827491521835327,0.11110000312328339,19.802945276729737,4.2011511154056205,-0.8673959256596943,-0.8639848373806647,-0.8585322509606366,6.854086960937783,7.291766537270919
1925,DEU,-0.3478185534477234,0.0672944039106369,0.0820000022649765,21.65947135982542,4.200445247196203,-0.3477089569352583,0.06747375851365489,0.08218182808563168,-0.00016801780988757713,0.09374999815190475
1926,DEU,1.3776044845581055,0.04826834797859192,0.06030000001192093,21.81418189639468,4.202386955790889,1.3765059148378502,0.047783996660586414,0.05981008948139954,0.0004622625651367924,0.007142858382786727
1927,DEU,-0.07390796393156052,0.04713355004787445,0.07259999960660934,22.89715545688216,4.184100418410042,-0.06986049495563529,0.05171002883443432,0.07728777906362261,-0.004351464435146395,0.04964538966581501
1928,DEU,0.11162931472063065,0.05308752879500389,0.07460000365972519,23.515997494325248,4.201680672268907,0.10697814603979139,0.04868130482515065,0.07010376933478946,0.004201680672268781,0.02702702694264511
1929,DEU,-0.22215013206005096,0.046711549162864685,0.08269999921321869,23.82541852429542,4.184100418410042,-0.21888185530400095,0.0511094968484227,0.08724915887377827,-0.004184100418409917,0.013157895175181853
1930,DEU,-0.27195248007774353,0.06838693469762802,0.05660000070929527,22.89715545688216,4.201680672268907,-0.27499870401047244,0.06391669647713605,0.05217908020423567,0.004201680672268781,-0.03896103929786936
1931,DEU,-0.34182441234588623,-0.12421856820583344,0.08449999988079071,21.040629339347035,4.23728813559322,-0.3473552996370972,-0.13157807603603644,0.07538655450364118,0.008474576271186461,-0.08108108105529381
1932,DEU,0.13711504638195038,0.24399156868457794,0.05040000006556511,18.719971694232836,4.201680672268907,0.1467516145716279,0.2545338701141082,0.05930169498137494,-0.008403361344537836,-0.1102941175231129
1933,DEU,0.14418908953666687,0.20961789786815643,0.05050000175833702,18.255840167016665,2.679528403001072,0.7941654126684201,0.8967621827075458,0.6472546246059299,-0.36227224008574477,-0.024793388301925626
1934,DEU,0.1400829404592514,0.045467033982276917,0.045499999076128006,18.71997169423284,2.488181139586962,0.22775812907441884,0.12586602614543696,0.12590152633626972,-0.07141079870614585,0.025423728679150805
1935,DEU,0.16027472913265228,0.04637465626001358,0.034699998795986176,19.02939269921157,2.486325211337643,0.1611408212419827,0.04715572716540817,0.03547235510262681,-0.0007458975634013574,0.016528924831336986
1936,DEU,0.2989019751548767,0.07111585885286331,0.03310000151395798,19.184103223682772,2.4857071836937608,0.299224924427665,0.0713821730892763,0.03335686377191771,-0.0002485707183693725,0.008130082074432788
1937,DEU,0.017761338502168655,0.0956096276640892,0.031700000166893005,19.338813739405722,2.481389578163772,0.01953223817144889,0.09751598296949515,0.033495153038175074,-0.0017369727047144628,0.008064516434208932
