year,iso_domestic,asset_class,return
1968,DNK,Bills,0.0716666653752327
1969,DNK,Bills,0.08500000089406967
1970,DNK,Bills,0.0949999988079071
1971,DNK,Bills,0.08187499642372131
1972,DNK,Bills,0.07770833373069763
1973,DNK,Bills,0.08104166388511658
1974,DNK,Bills,0.133366659283638
1975,DNK,Bills,0.06470832973718643
1976,DNK,Bills,0.10279999673366547
1977,DNK,Bills,0.14481666684150696
1978,DNK,Bills,0.1542000025510788
1979,DNK,Bills,0.1263333261013031
1980,DNK,Bills,0.16927500069141388
1981,DNK,Bills,0.14839999377727509
1982,DNK,Bills,0.16918332874774933
1983,DNK,Bills,0.12809999287128448
1984,DNK,Bills,0.11772499978542328
1985,DNK,Bills,0.1033250018954277
1986,DNK,Bills,0.09224999696016312
1987,DNK,Bills,0.10108333081007004
1988,DNK,Bills,0.08527500182390213
1989,DNK,Bills,0.09593600034713745
1990,DNK,Bills,0.10892999917268753
1991,DNK,Bills,0.09699500352144241
1992,DNK,Bills,0.11035100370645523
1993,DNK,Bills,0.10405399650335312
1994,DNK,Bills,0.061344001442193985
1995,DNK,Bills,0.06069299951195717
1996,DNK,Bills,0.03869299963116646
1997,DNK,Bills,0.0365849994122982
1998,DNK,Bills,0.0414620004594326
1999,DNK,Bills,0.03307599946856499
2000,DNK,Bills,0.04907400161027908
2001,DNK,Bills,0.04618600010871887
2002,DNK,Bills,0.03484800085425377
2003,DNK,Bills,0.02375260926783085
2004,DNK,Bills,0.02161666750907898
2005,DNK,Bills,0.021994750946760178
2006,DNK,Bills,0.031814899295568466
2007,DNK,Bills,0.04327499866485596
2008,DNK,Bills,0.04880833253264427
2009,DNK,Bills,0.01809166744351387
2010,DNK,Bills,0.007018666714429855
2011,DNK,Bills,0.008877333253622055
2012,DNK,Bills,0.0008008666918613017
2013,DNK,Bills,-0.00023101666010916233
2014,DNK,Bills,0.0006411583162844181
2015,DNK,Bills,-0.0012600832851603627
2016,DNK,Bills,-0.0044
2017,DNK,Bills,-0.0044
2018,DNK,Bills,-0.0049
2019,DNK,Bills,-0.0055000000000000005
2020,DNK,Bills,-0.0015
1900,ESP,Bills,0.03500000014901161
1901,ESP,Bills,0.03999999910593033
1902,ESP,Bills,0.03999999910593033
1903,ESP,Bills,0.03500000014901161
1904,ESP,Bills,0.029999999329447746
1905,ESP,Bills,0.03999999910593033
1906,ESP,Bills,0.04500000178813934
1907,ESP,Bills,0.04500000178813934
1908,ESP,Bills,0.03999999910593033
1909,ESP,Bills,0.04500000178813934
1910,ESP,Bills,0.03999999910593033
1911,ESP,Bills,0.03999999910593033
1912,ESP,Bills,0.04500000178813934
1913,ESP,Bills,0.04500000178813934
1914,ESP,Bills,0.03999999910593033
1915,ESP,Bills,0.04500000178813934
1916,ESP,Bills,0.04500000178813934
1917,ESP,Bills,0.04500000178813934
1918,ESP,Bills,0.04500000178813934
1919,ESP,Bills,0.05000000074505806
1920,ESP,Bills,0.05999999865889549
1921,ESP,Bills,0.05999999865889549
1922,ESP,Bills,0.03500000014901161
1923,ESP,Bills,0.03500000014901161
1924,ESP,Bills,0.03500000014901161
1925,ESP,Bills,0.03500000014901161
1926,ESP,Bills,0.03500000014901161
1927,ESP,Bills,0.03500000014901161
1928,ESP,Bills,0.03500000014901161
1929,ESP,Bills,0.03500000014901161
1930,ESP,Bills,0.03500000014901161
1931,ESP,Bills,0.03500000014901161
1932,ESP,Bills,0.03500000014901161
1933,ESP,Bills,0.035999998450279236
1934,ESP,Bills,0.035999998450279236
1935,ESP,Bills,0.035999998450279236
1941,ESP,Bills,0.029999999329447746
1942,ESP,Bills,0.029999999329447746
1943,ESP,Bills,0.029999999329447746
1944,ESP,Bills,0.029999999329447746
1945,ESP,Bills,0.029999999329447746
1946,ESP,Bills,0.029999999329447746
1947,ESP,Bills,0.029999999329447746
1948,ESP,Bills,0.029999999329447746
1949,ESP,Bills,0.029999999329447746
1950,ESP,Bills,0.029999999329447746
1951,ESP,Bills,0.029999999329447746
1952,ESP,Bills,0.029999999329447746
1953,ESP,Bills,0.029999999329447746
1954,ESP,Bills,0.029999999329447746
1955,ESP,Bills,0.029999999329447746
1956,ESP,Bills,0.029999999329447746
1957,ESP,Bills,0.029999999329447746
1958,ESP,Bills,0.029999999329447746
1959,ESP,Bills,0.029999999329447746
1960,ESP,Bills,0.029999999329447746
1961,ESP,Bills,0.029999999329447746
1962,ESP,Bills,0.029999999329447746
1963,ESP,Bills,0.029999999329447746
1964,ESP,Bills,0.029999999329447746
1965,ESP,Bills,0.029999999329447746
1966,ESP,Bills,0.029999999329447746
1967,ESP,Bills,0.029999999329447746
1968,ESP,Bills,0.029999999329447746
1969,ESP,Bills,0.04500000178813934
1970,ESP,Bills,0.054999999701976776
1971,ESP,Bills,0.03999999910593033
1972,ESP,Bills,0.03999999910593033
1973,ESP,Bills,0.05000000074505806
1974,ESP,Bills,0.05999999865889549
1975,ESP,Bills,0.06695166975259781
1976,ESP,Bills,0.09965833276510239
1977,ESP,Bills,0.13122832775115967
1978,ESP,Bills,0.2077208310365677
1979,ESP,Bills,0.13134583830833435
1980,ESP,Bills,0.15456749498844147
1981,ESP,Bills,0.1589466631412506
1982,ESP,Bills,0.17172832787036896
1983,ESP,Bills,0.19452832639217377
1984,ESP,Bills,0.1260174959897995
1985,ESP,Bills,0.11610499769449234
1986,ESP,Bills,0.11490833014249802
1987,ESP,Bills,0.16064833104610443
1988,ESP,Bills,0.11292000114917755
1989,ESP,Bills,0.14391666650772095
1990,ESP,Bills,0.14758333563804626
1991,ESP,Bills,0.13201667368412018
1992,ESP,Bills,0.1300666630268097
1993,ESP,Bills,0.12326666712760925
1994,ESP,Bills,0.078125
1995,ESP,Bills,0.0898333340883255
1996,ESP,Bills,0.0764833316206932
1997,ESP,Bills,0.054858334362506866
1998,ESP,Bills,0.04340000078082085
1999,ESP,Bills,0.027233334258198738
2000,ESP,Bills,0.04111666604876518
2001,ESP,Bills,0.04360833391547203
2002,ESP,Bills,0.032749999314546585
2003,ESP,Bills,0.023116666823625565
2004,ESP,Bills,0.020408334210515022
2005,ESP,Bills,0.020866665989160538
2006,ESP,Bills,0.02827499993145466
2007,ESP,Bills,0.038474999368190765
2008,ESP,Bills,0.03849999979138374
2009,ESP,Bills,0.006758333183825016
2010,ESP,Bills,0.004533333238214254
