year,iso,debt_share
1923,BEL,0.022052734439825063
1923,CHE,0.003987462511088866
1923,DNK,0.001959351119552897
1923,ESP,0.022122706739896653
1923,FIN,0.0005973212439407408
1923,FRA,0.236399550929282
1923,GBR,0.34866875882115567
1923,ITA,0.08075143942175632
1923,JPN,0.024510558697904434
1923,NLD,0.017549230382261923
1923,NOR,0.0019713949021762005
1923,SWE,0.00391649248346286
1923,USA,0.21205788746760024
1924,AUS,0.0253075961413013
1924,BEL,0.020703828859363713
1924,CHE,0.004301899488128097
1924,DNK,0.0019095350322960805
1924,ESP,0.02316530852459895
1924,FIN,0.0005390633148694158
1924,FRA,0.2204987213034657
1924,GBR,0.35411721959638254
1924,ITA,0.08460206398635042
1924,JPN,0.022711294362604034
1924,NLD,0.018594325477930423
1924,NOR,0.002347637374412673
1924,PRT,0.002743668915793494
1924,SWE,0.0044347383327840205
1924,USA,0.2140230992897191
1925,AUS,0.025681343771303707
1925,BEL,0.02295952245391882
1925,CHE,0.004129606002316816
1925,DEU,0.0525455860594994
1925,DNK,0.0022148072402598095
1925,ESP,0.024102842440045628
1925,FIN,0.000575424070446738
1925,FRA,0.21634326236897386
1925,GBR,0.34531957554445486
1925,ITA,0.06415578629477574
1925,JPN,0.021792281564975324
1925,NLD,0.018246567859850765
1925,NOR,0.0032601922139581956
1925,PRT,0.003929896443960866
1925,SWE,0.004309823904355402
1925,USA,0.19043348176690414
1926,AUS,0.02942448373355691
1926,BEL,0.02105055209241263
1926,CHE,0.004365999171563886
1926,DEU,0.05690331683604428
1926,DNK,0.003020497462375807
1926,ESP,0.02777583152863044
1926,FIN,0.0007210081594761765
1926,FRA,0.1526656561617409
1926,GBR,0.3838356849429999
1926,ITA,0.06205846598225822
1926,JPN,0.02782169390895736
1926,NLD,0.01957447774820069
1926,NOR,0.004083548402928882
1926,PRT,0.004585270991009401
1926,SWE,0.00466200962345515
1926,USA,0.19745150325438926
1927,AUS,0.02941760621335648
1927,BEL,0.016971880793898268
1927,CHE,0.004309662467211379
1927,DEU,0.032011831052052006
1927,DNK,0.002996032074425095
1927,ESP,0.032089067980629056
1927,FIN,0.0006624849618122715
1927,FRA,0.18451754060310388
1927,GBR,0.3756462044630662
1927,ITA,0.0797851181258713
1927,JPN,0.027561208190591817
1927,NLD,0.019024687448433216
1927,NOR,0.004091551540760669
1927,PRT,0.004617613506823323
1927,SWE,0.004796101491091128
1927,USA,0.18150140908687398
1928,AUS,0.031033211450315918
1928,BEL,0.016614661997758524
1928,CHE,0.004317383382852957
1928,DEU,0.03809956770112521
1928,DNK,0.0030806009199705418
1928,ESP,0.03221042670344593
1928,FIN,0.0007319797710922199
1928,FRA,0.1819366788643492
1928,GBR,0.37498722523647626
1928,ITA,0.0803413567378616
1928,JPN,0.03043167319451132
1928,NLD,0.019098019713006783
1928,NOR,0.004303149906957125
1928,PRT,0.0042215039136323665
1928,SWE,0.004823088125190771
1928,USA,0.17376947238145324
1929,AUS,0.029871969250614125
1929,BEL,0.0156388039147579
1929,CHE,0.004242779731826672
1929,DEU,0.046109260569550885
1929,DNK,0.0036505715283999206
1929,ESP,0.02918079832488839
1929,FIN,0.0007496382972438383
1929,FRA,0.18632107243666576
1929,GBR,0.3718078094077905
1929,ITA,0.08055481435361948
1929,JPN,0.03170025648526768
1929,NLD,0.019154242549583554
1929,NOR,0.0041944563002686295
