year,iso_domestic,iso_foreign
1948,BEL,AUS
1948,CHE,AUS
1948,DNK,AUS
1948,ESP,AUS
1948,FIN,AUS
1948,FRA,AUS
1948,GBR,AUS
1948,ITA,AUS
1948,JPN,AUS
1948,NLD,AUS
1948,NOR,AUS
1948,PRT,AUS
1948,SWE,AUS
1949,BEL,AUS
1949,CHE,AUS
1949,DNK,AUS
1949,ESP,AUS
1949,FIN,AUS
1949,FRA,AUS
1949,GBR,AUS
1949,ITA,AUS
1949,JPN,AUS
1949,NLD,AUS
1949,NOR,AUS
1949,PRT,AUS
1949,SWE,AUS
1950,BEL,AUS
1950,CHE,AUS
1950,DEU,AUS
1950,DNK,AUS
1950,ESP,AUS
1950,FIN,AUS
1950,FRA,AUS
1950,GBR,AUS
1950,ITA,AUS
1950,JPN,AUS
1950,NLD,AUS
1950,NOR,AUS
1950,PRT,AUS
1950,SWE,AUS
1951,BEL,AUS
1951,CHE,AUS
1951,DEU,AUS
1951,DNK,AUS
1951,ESP,AUS
1951,FIN,AUS
1951,FRA,AUS
1951,GBR,AUS
1951,ITA,AUS
1951,JPN,AUS
1951,NLD,AUS
1951,NOR,AUS
1951,PRT,AUS
1951,SWE,AUS
1952,BEL,AUS
1952,CHE,AUS
1952,DEU,AUS
1952,DNK,AUS
1952,ESP,AUS
1952,FIN,AUS
1952,FRA,AUS
1952,GBR,AUS
1952,ITA,AUS
1952,JPN,AUS
1952,NLD,AUS
1952,NOR,AUS
1952,PRT,AUS
1952,SWE,AUS
1953,BEL,AUS
1953,CHE,AUS
1953,DEU,AUS
1953,DNK,AUS
1953,ESP,AUS
1953,FIN,AUS
1953,FRA,AUS
1953,GBR,AUS
1953,ITA,AUS
1953,JPN,AUS
1953,NLD,AUS
1953,NOR,AUS
1953,PRT,AUS
1953,SWE,AUS
1954,BEL,AUS
1954,CHE,AUS
1954,DEU,AUS
1954,DNK,AUS
1954,ESP,AUS
1954,FIN,AUS
1954,FRA,AUS
1954,GBR,AUS
1954,ITA,AUS
1954,JPN,AUS
1954,NLD,AUS
1954,NOR,AUS
1954,PRT,AUS
1954,SWE,AUS
1955,BEL,AUS
1955,CHE,AUS
1955,DEU,AUS
1955,DNK,AUS
1955,ESP,AUS
1955,FIN,AUS
1955,FRA,AUS
1955,GBR,AUS
1955,ITA,AUS
1955,JPN,AUS
1955,NLD,AUS
1955,NOR,AUS
1955,PRT,AUS
1955,SWE,AUS
1956,BEL,AUS
1956,CHE,AUS
1956,DEU,AUS
1956,DNK,AUS
1956,ESP,AUS
1956,FIN,AUS
1956,FRA,AUS
1956,GBR,AUS
1956,ITA,AUS
1956,JPN,AUS
1956,NLD,AUS
1956,NOR,AUS
1956,PRT,AUS
1956,SWE,AUS
1957,BEL,AUS
1957,CHE,AUS
1957,DEU,AUS
1957,DNK,AUS
1957,ESP,AUS
1957,FIN,AUS
1957,FRA,AUS
1957,GBR,AUS
1957,ITA,AUS
1957,JPN,AUS
1957,NLD,AUS
1957,NOR,AUS
1957,PRT,AUS
1957,SWE,AUS
1958,BEL,AUS
1958,CHE,AUS
1958,DEU,AUS
1958,DNK,AUS
1958,ESP,AUS
1958,FIN,AUS
1958,FRA,AUS
1958,GBR,AUS
1958,ITA,AUS
1958,JPN,AUS
1958,NLD,AUS
1958,NOR,AUS
1958,PRT,AUS
1958,SWE,AUS
1959,BEL,AUS
1959,CHE,AUS
1959,DEU,AUS
1959,DNK,AUS
1959,ESP,AUS
1959,FIN,AUS
1959,FRA,AUS
1959,GBR,AUS
1959,ITA,AUS
1959,JPN,AUS
1959,NLD,AUS
1959,NOR,AUS
1959,PRT,AUS
1959,SWE,AUS
1960,BEL,AUS
1960,CHE,AUS
1960,DEU,AUS
1960,DNK,AUS
1960,ESP,AUS
1960,FIN,AUS
1960,FRA,AUS
1960,GBR,AUS
1960,ITA,AUS
1960,JPN,AUS
1960,NLD,AUS
1960,NOR,AUS
1960,PRT,AUS
1960,SWE,AUS
1961,BEL,AUS
1961,CHE,AUS
1961,DEU,AUS
1961,DNK,AUS
1961,ESP,AUS
1961,FIN,AUS
1961,FRA,AUS
1961,GBR,AUS
1961,ITA,AUS
1961,JPN,AUS
1961,NLD,AUS
1961,NOR,AUS
1961,PRT,AUS
1961,SWE,AUS
1962,BEL,AUS
1962,CHE,AUS
1962,DEU,AUS
1962,DNK,AUS
1962,ESP,AUS
1962,FIN,AUS
1962,FRA,AUS
1962,GBR,AUS
1962,ITA,AUS
1962,JPN,AUS
1962,NLD,AUS
1962,NOR,AUS
1962,PRT,AUS
1962,SWE,AUS
1963,BEL,AUS
1963,CHE,AUS
1963,DEU,AUS
1963,DNK,AUS
1963,ESP,AUS
1963,FIN,AUS
1963,FRA,AUS
